make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,price,key
Ford,Everest,2020,Diesel,Automatic,"80,000 Km",2.0,Suv,₱1.2 Million,Ford Everest
Mitsubishi,Montero,2018,Diesel,Automatic,1 Km,2.442,Suv,₱1.208 Million,Mitsubishi Montero
Ford,Ranger,2022,Diesel,Automatic,"2,000 Km",2.2,Pickup-trucks,₱1.218 Million,Ford Ranger
Nissan,Terra,2019,Diesel,Automatic,"30,000 Km",2.488,Suv,₱1.22 Million,Nissan Terra
Toyota,Fortuner,2018,Diesel,Automatic,"45,000 Km",2.4,Suv,₱1.22 Million,Toyota Fortuner
Toyota,Fortuner,2018,Diesel,Automatic,"37,000 Km",2.4,Suv,₱1.225 Million,Toyota Fortuner
Toyota,Fortuner,2017,Diesel,Automatic,"31,000 Km",2.4,Suv,₱1.225 Million,Toyota Fortuner
Toyota,Hiace,2021,Diesel,Manual,"29,000 Km",2.755,Van,₱1.228 Million,Toyota Hiace
Toyota,Fortuner,2018,Diesel,Automatic,"80,000 Km",2.4,Suv,₱1.228 Million,Toyota Fortuner
Toyota,Fortuner,2018,Diesel,Automatic,"70,000 Km",2.4,Suv,₱1.23 Million,Toyota Fortuner
Nissan,NP300,2022,Diesel,Automatic,"13,000 Km",2.5,Pickup-trucks,₱1.235 Million,Nissan NP300
Ford,Explorer,2015,Gasoline,Automatic,1 Km,3.5,Suv,₱1.238 Million,Ford Explorer
Toyota,Fortuner,2018,Diesel,Automatic,"50,000 Km",2.494,Suv,₱1.24 Million,Toyota Fortuner
Toyota,Fortuner,2018,Diesel,Automatic,"40,000 Km",2.4,Suv,₱1.24 Million,Toyota Fortuner
Toyota,Fortuner,2017,Diesel,Automatic,"80,000 Km",2.393,Suv,₱1.24 Million,Toyota Fortuner
Mitsubishi,Montero,2018,Diesel,Automatic,"24,000 Km",2.4,Suv,₱1.248 Million,Mitsubishi Montero
Toyota,Fortuner,2016,Diesel,Automatic,"45,000 Km",2.393,Suv,₱1.248 Million,Toyota Fortuner
Geely,Okavango,2021,Gasoline,Dual-clutch,"20,000 Km",1.477,Suv,₱1.249 Million,Geely Okavango
Toyota,86,2014,Gasoline,Automatic,"40,000 Km",1.998,Coupe,₱1.25 Million,Toyota 86
Toyota,Fortuner,2016,Diesel,Automatic,"18,000 Km",2.393,Suv,₱1.25 Million,Toyota Fortuner
Audi,Q5,2014,Diesel,Automatic,"49,000 Km",1.984,Suv,₱1.25 Million,Audi Q5
Nissan,NV350,2018,Diesel,Automatic,"55,372 Km",2.488,Van,₱1.25 Million,Nissan NV350
Toyota,Hilux,2018,Diesel,Manual,"44,000 Km",2.393,Pickup-trucks,₱1.25 Million,Toyota Hilux
