,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
98,2023 Toyota Lite Ace Pickup Detail,"₱595,000 ",,2023,Gasoline,Pickup-trucks,"2,000 Km",First Owner,Manual,Puerto Princesa City,2 seat,1496 CC
99,2018 Suzuki Vitara GL Plus AT Detail,"₱595,000 ",2018.0,2018,Gasoline,Crossover,"70,000 Km",First Owner,Automatic,Lipa City,5 seat,1586 CC
100,2010 Mitsubishi Montero Sport 3.2L GLS AT Detail,"₱595,000 ",2010.0,2010,Gasoline,Suv,"41,000 Km",First Owner,Automatic,"Talisay City, Cebu",7 seat,3198 CC
101,2018 Toyota Avanza 1.3 E A/T Detail,"₱595,000 ",,2018,Gasoline,Mpv,"36,000 Km",First Owner,Automatic,Lumban,7 seat,1329 CC
102,2022 Mazda CX-5 2.5L AWD Sport Detail,"₱595,000 ",,2022,Gasoline,Crossover,"56,000 Km",First Owner,Automatic,Quezon City,5 seat,2488 CC
103,2022 Toyota Vios 1.3L AT Detail,"₱595,000 ",2022.0,2022,Gasoline,Sedan,"15,000 Km",First Owner,Automatic,Bacoor,,1293 CC
104,2015 Nissan X-Trail 2.5L 4x4 Detail,"₱598,000 ",2015.0,2015,Gasoline,Suv,"48,000 Km",First Owner,,Quezon City,,
105,2017 Honda City 1.5 E CVT Detail,"₱598,000 ",,2017,Gasoline,Sedan,"9,000 Km",First Owner,Cvt,Marikina City,5 seat,1496 CC
106,2013 Subaru Forester 2.0XT Detail,"₱598,000 ",,2013,Gasoline,Suv,"70,000 Km",First Owner,Automatic,Las Piñas,5 seat,1998 CC
107,2015 Nissan Altima 2.5 SV Detail,"₱598,000 ",2015.0,2015,Gasoline,Sedan,"50,000 Km",First Owner,Cvt,Mandaluyong City,5 seat,2488 CC
108,2017 Toyota Avanza 1.3 E A/T Detail,"₱598,000 ",,2017,Gasoline,Mpv,"23,000 Km",First Owner,Automatic,Marikina City,7 seat,1329 CC
109,2015 Toyota Corolla Altis 1.6 V AT Detail,"₱598,000 ",,2015,Gasoline,Sedan,1 Km,First Owner,Automatic,Quezon City,5 seat,1598 CC
110,2010 Kia Sorento 3.5L AT 4x4 Detail,"₱598,000 ",2010.0,2010,Gasoline,Suv,"74,000 Km",First Owner,Automatic,Quezon City,,
